M,N,K,Triton,PyTorch,Naive Triton
256.000000,256.000000,256.000000,3480.750269,2240.023450,2719.270035
512.000000,512.000000,512.000000,18772.366846,12795.436042,15809.384593
1024.000000,1024.000000,1024.000000,75405.864190,62940.992520,80252.760128
2048.000000,2048.000000,2048.000000,119959.011867,248850.177700,154002.196465
