M,N,K,Triton,PyTorch
256.000000,256.000000,256.000000,1447.622056,3804.357324
512.000000,512.000000,512.000000,6664.484624,17296.656453
1024.000000,1024.000000,1024.000000,28588.517430,39754.965316
2048.000000,2048.000000,2048.000000,35746.748471,51029.489556
4096.000000,4096.000000,4096.000000,45187.742361,55021.951799
8192.000000,8192.000000,8192.000000,45943.637967,55588.371597
16384.000000,16384.000000,16384.000000,44414.118804,56535.098359
32768.000000,32768.000000,32768.000000,44299.680214,56588.159587
